t,type,mode,profile,frame,x,y,z,vx,vy,vz,ax,notes
0.00,manual_takeoff,,,,,0,0,0,0,0,0,0,manual takeoff
10.00,cmd,pos,hold,body,0,0,0,0,0,0,0,hover at home
15.00,cmd,vel,step,body,0,0,0,5,0,0,0,ZV shaped pitch pulse
25.00,end,,,,,,,,,,,, 
